as.character(comp),Name,Protein_Classification,
Compound_998,Potassium channel subfamily K member 3,Ion_Channel,O=C(NC1=CC=CC(NC(C2=CC(C)=CC=C2)=O)=C1)C3=C(C(C)C)C=CC=C3
Compound_998,Potassium channel subfamily K member 9,Ion_Channel,O=C(NC1=CC=CC(NC(C2=CC(C)=CC=C2)=O)=C1)C3=C(C(C)C)C=CC=C3
Compound_998,Potassium channel subfamily K member 3,Ion_Channel,O=C(NC1=CC=CC(NC(C2=CC(C)=CC=C2)=O)=C1)C3=C(C(C)C)C=CC=C3
Compound_998,Potassium channel subfamily K member 3,Ion_Channel,O=C(NC1=CC=CC(NC(C2=CC(C)=CC=C2)=O)=C1)C3=C(C(C)C)C=CC=C3
Compound_1026,Niemann-Pick C1 protein,Other,COC1=CC=C2C(C=NC(C3=CC=CC=C3)=C2)=C1
Compound_1035,Potassium channel subfamily K member 9,Ion_Channel,O=C(C1=CC=CC(C)=C1)NC2=CC=CC(NC(C3=C(C(F)(F)F)C=CC=C3)=O)=C2
Compound_1035,Potassium channel subfamily K member 3,Ion_Channel,O=C(C1=CC=CC(C)=C1)NC2=CC=CC(NC(C3=C(C(F)(F)F)C=CC=C3)=O)=C2
Compound_1035,Potassium channel subfamily K member 9,Ion_Channel,O=C(C1=CC=CC(C)=C1)NC2=CC=CC(NC(C3=C(C(F)(F)F)C=CC=C3)=O)=C2
Compound_1035,Potassium channel subfamily K member 3,Ion_Channel,O=C(C1=CC=CC(C)=C1)NC2=CC=CC(NC(C3=C(C(F)(F)F)C=CC=C3)=O)=C2
Compound_1035,Potassium channel subfamily K member 9,Ion_Channel,O=C(C1=CC=CC(C)=C1)NC2=CC=CC(NC(C3=C(C(F)(F)F)C=CC=C3)=O)=C2
Compound_1035,Potassium channel subfamily K member 3,Ion_Channel,O=C(C1=CC=CC(C)=C1)NC2=CC=CC(NC(C3=C(C(F)(F)F)C=CC=C3)=O)=C2
Compound_1035,Potassium channel subfamily K member 3,Ion_Channel,O=C(C1=CC=CC(C)=C1)NC2=CC=CC(NC(C3=C(C(F)(F)F)C=CC=C3)=O)=C2
Compound_1046,Kappa opioid receptor,GPCR,CC1=CC=C(S(NCC2=CC=C(C(NCCN(CC3=CC=CC=C3)CC4=CC=CC=C4)=O)C=C2)(=O)=O)C=C1
Compound_1046,Kappa opioid receptor,GPCR,CC1=CC=C(S(NCC2=CC=C(C(NCCN(CC3=CC=CC=C3)CC4=CC=CC=C4)=O)C=C2)(=O)=O)C=C1
Compound_1049,P-glycoprotein 1,Transporter,O=C(C1=C(C)OC=C1C)N(CC2)CCN2C3=CC(C4=CC=CO4)=NC5=CC(C6=CC=CC=C6)=NN53
Compound_1056,Nuclear factor NF-kappa-B p100/p49 subunits,Other,C1(C2=NN=C(SCC3=CC=CC=C3)O2)=CC=CC=C1
Compound_1063,Kappa opioid receptor,GPCR,O=S(C1=CC=C(CCC)C=C1)(NCC2=CC=C(C(NCCN(CC3=CC=CC=C3)C(C)C)=O)C=C2)=O
Compound_1063,Kappa opioid receptor,GPCR,O=S(C1=CC=C(CCC)C=C1)(NCC2=CC=C(C(NCCN(CC3=CC=CC=C3)C(C)C)=O)C=C2)=O
Compound_1066,Nuclear factor NF-kappa-B p100/p49 subunits,Other,C1(C2=NN=C(SCC3=CC=CC=C3)O2)=CC=CC=C1
Compound_1073,Kappa opioid receptor,GPCR,O=S(C1=CC=C(C(C)(CC)C)C=C1)(NCC2=CC=C(C(NCCN(CC3=CC=CC=C3)C(C)C)=O)C=C2)=O
Compound_1095,Solute carrier family 40 member 1,Transporter,O=S(NC1=CC=CC2=C1N=CC=C2)(C3=CC=C(C)C=C3)=O
Compound_1095,Solute carrier family 40 member 1,Transporter,O=S(NC1=CC=CC2=C1N=CC=C2)(C3=CC=C(C)C=C3)=O
Compound_1095,Solute carrier family 40 member 1,Transporter,O=S(NC1=CC=CC2=C1N=CC=C2)(C3=CC=C(C)C=C3)=O
Compound_1097,P-glycoprotein 1,Transporter,O=C(C1=COC2=C1C=CC=C2)N(CC3)CCN3C4=CC(C5=CC=CO5)=NC6=CC(C7=CC=CC=C7)=NN64
Compound_1107,Carbonic anhydrase XII,Lyases,O=S(C(C=C1)=CC=C1N2C(C3=CC=C(OC)C=C3)CC(C4=CC=C(Br)C=C4)=N2)(N)=O
Compound_1107,Carbonic anhydrase IX,Lyases,O=S(C(C=C1)=CC=C1N2C(C3=CC=C(OC)C=C3)CC(C4=CC=C(Br)C=C4)=N2)(N)=O
Compound_1107,Carbonic anhydrase I,Lyases,O=S(C(C=C1)=CC=C1N2C(C3=CC=C(OC)C=C3)CC(C4=CC=C(Br)C=C4)=N2)(N)=O
Compound_1107,Carbonic anhydrase I,Lyases,O=S(C(C=C1)=CC=C1N2C(C3=CC=C(OC)C=C3)CC(C4=CC=C(Br)C=C4)=N2)(N)=O
Compound_1107,Carbonic anhydrase IX,Lyases,O=S(C(C=C1)=CC=C1N2C(C3=CC=C(OC)C=C3)CC(C4=CC=C(Br)C=C4)=N2)(N)=O
Compound_1107,Carbonic anhydrase XII,Lyases,O=S(C(C=C1)=CC=C1N2C(C3=CC=C(OC)C=C3)CC(C4=CC=C(Br)C=C4)=N2)(N)=O
Compound_1107,Carbonic anhydrase I,Lyases,O=S(C(C=C1)=CC=C1N2C(C3=CC=C(OC)C=C3)CC(C4=CC=C(Br)C=C4)=N2)(N)=O
Compound_1107,Cyclooxygenase-2,Oxidoreductases,O=S(C(C=C1)=CC=C1N2C(C3=CC=C(OC)C=C3)CC(C4=CC=C(Br)C=C4)=N2)(N)=O
Compound_1107,Carbonic anhydrase XII,Lyases,O=S(C(C=C1)=CC=C1N2C(C3=CC=C(OC)C=C3)CC(C4=CC=C(Br)C=C4)=N2)(N)=O
Compound_1107,Carbonic anhydrase IX,Lyases,O=S(C(C=C1)=CC=C1N2C(C3=CC=C(OC)C=C3)CC(C4=CC=C(Br)C=C4)=N2)(N)=O
Compound_1107,Carbonic anhydrase I,Lyases,O=S(C(C=C1)=CC=C1N2C(C3=CC=C(OC)C=C3)CC(C4=CC=C(Br)C=C4)=N2)(N)=O
Compound_1107,Geminin,Other,O=S(C(C=C1)=CC=C1N2C(C3=CC=C(OC)C=C3)CC(C4=CC=C(Br)C=C4)=N2)(N)=O
Compound_1107,Cyclooxygenase-2,Oxidoreductases,O=S(C(C=C1)=CC=C1N2C(C3=CC=C(OC)C=C3)CC(C4=CC=C(Br)C=C4)=N2)(N)=O
Compound_1126,Nuclear factor NF-kappa-B p100/p49 subunits,Other,COC1=CC=C(N=C(NC(C2=CC=CC=C2)=O)S3)C3=C1
Compound_1126,Nuclear factor NF-kappa-B p100/p49 subunits,Other,COC1=CC=C(N=C(NC(C2=CC=CC=C2)=O)S3)C3=C1
Compound_1127,Kappa opioid receptor,GPCR,CC(N(CC1=CC=CO1)C(C2=CC=CC=N2)=O)(CC)C(NC3CCCCC3)=O
Compound_1143,Nuclear factor NF-kappa-B p100/p49 subunits,Other,O=C(C1=CC=CC=C1)NC2=CC=C(C(O)=O)C=C2
Compound_1158,Nuclear factor NF-kappa-B p100/p49 subunits,Other,COC1=CC=C(N=C(NC(C2=CC=CC(OC)=C2)=O)S3)C3=C1
Compound_1174,Histone deacetylase 4,Hydrolases,O=C(NO)/C=C/C1=CC=C(N(C)C)C=C1
Compound_1174,Histone deacetylase 1,Hydrolases,O=C(NO)/C=C/C1=CC=C(N(C)C)C=C1
Compound_1174,Histone deacetylase 10,Hydrolases,O=C(NO)/C=C/C1=CC=C(N(C)C)C=C1
Compound_1174,Histone deacetylase 10,Hydrolases,O=C(NO)/C=C/C1=CC=C(N(C)C)C=C1
Compound_1174,Histone deacetylase 5,Hydrolases,O=C(NO)/C=C/C1=CC=C(N(C)C)C=C1
Compound_1174,Histone deacetylase 2,Hydrolases,O=C(NO)/C=C/C1=CC=C(N(C)C)C=C1
Compound_1174,Histone deacetylase 8,Hydrolases,O=C(NO)/C=C/C1=CC=C(N(C)C)C=C1
Compound_1174,Histone deacetylase 2,Hydrolases,O=C(NO)/C=C/C1=CC=C(N(C)C)C=C1
Compound_1174,Histone deacetylase 11,Hydrolases,O=C(NO)/C=C/C1=CC=C(N(C)C)C=C1
Compound_1174,Histone deacetylase 7,Hydrolases,O=C(NO)/C=C/C1=CC=C(N(C)C)C=C1
Compound_1174,Histone deacetylase 7,Hydrolases,O=C(NO)/C=C/C1=CC=C(N(C)C)C=C1
Compound_1174,Histone deacetylase 10,Hydrolases,O=C(NO)/C=C/C1=CC=C(N(C)C)C=C1
Compound_1174,Histone deacetylase 9,Hydrolases,O=C(NO)/C=C/C1=CC=C(N(C)C)C=C1
Compound_1174,Histone deacetylase 4,Hydrolases,O=C(NO)/C=C/C1=CC=C(N(C)C)C=C1
Compound_1174,Histone deacetylase 6,Hydrolases,O=C(NO)/C=C/C1=CC=C(N(C)C)C=C1
Compound_1174,Histone deacetylase 1,Hydrolases,O=C(NO)/C=C/C1=CC=C(N(C)C)C=C1
Compound_1174,Histone deacetylase 6,Hydrolases,O=C(NO)/C=C/C1=CC=C(N(C)C)C=C1
Compound_1174,Histone deacetylase 11,Hydrolases,O=C(NO)/C=C/C1=CC=C(N(C)C)C=C1
Compound_1174,Histone deacetylase 6,Hydrolases,O=C(NO)/C=C/C1=CC=C(N(C)C)C=C1
Compound_1174,Histone deacetylase 8,Hydrolases,O=C(NO)/C=C/C1=CC=C(N(C)C)C=C1
Compound_1174,Histone deacetylase 9,Hydrolases,O=C(NO)/C=C/C1=CC=C(N(C)C)C=C1
Compound_1174,Histone deacetylase 2,Hydrolases,O=C(NO)/C=C/C1=CC=C(N(C)C)C=C1
Compound_1174,Histone deacetylase 5,Hydrolases,O=C(NO)/C=C/C1=CC=C(N(C)C)C=C1
Compound_1174,Histone deacetylase 5,Hydrolases,O=C(NO)/C=C/C1=CC=C(N(C)C)C=C1
Compound_1174,Histone deacetylase 11,Hydrolases,O=C(NO)/C=C/C1=CC=C(N(C)C)C=C1
Compound_1174,Histone deacetylase 6,Hydrolases,O=C(NO)/C=C/C1=CC=C(N(C)C)C=C1
Compound_1174,Histone deacetylase 7,Hydrolases,O=C(NO)/C=C/C1=CC=C(N(C)C)C=C1
Compound_1174,Histone deacetylase 3,Hydrolases,O=C(NO)/C=C/C1=CC=C(N(C)C)C=C1
Compound_1174,Histone deacetylase 8,Hydrolases,O=C(NO)/C=C/C1=CC=C(N(C)C)C=C1
Compound_1192,Carbonic anhydrase IX,Lyases,COC(C=C1)=CC=C1C2CC(C3=CN=CC=C3)=NN2C4=CC=C(S(=O)(N)=O)C=C4
Compound_1192,Cyclooxygenase-2,Oxidoreductases,COC(C=C1)=CC=C1C2CC(C3=CN=CC=C3)=NN2C4=CC=C(S(=O)(N)=O)C=C4
Compound_1210,Nuclear factor NF-kappa-B p100/p49 subunits,Other,COC1=CC=C(N=C(NC(C2=CC=CS2)=O)S3)C3=C1
Compound_1210,Nuclear factor NF-kappa-B p100/p49 subunits,Other,COC1=CC=C(N=C(NC(C2=CC=CS2)=O)S3)C3=C1
Compound_1234,P-glycoprotein 1,Transporter,O=C(C1=C(C)OC=C1)N(CC2)CCN2C3=CC(C4=CC=CO4)=NC5=CC(C6=CC=CC=C6)=NN53
Compound_1243,Carbonic anhydrase XII,Lyases,COC(C=C1)=CC=C1C2CC(C3=CC=CC=C3)=NN2C4=CC=C(S(=O)(N)=O)C=C4
Compound_1243,Carbonic anhydrase IX,Lyases,COC(C=C1)=CC=C1C2CC(C3=CC=CC=C3)=NN2C4=CC=C(S(=O)(N)=O)C=C4
Compound_1243,Carbonic anhydrase I,Lyases,COC(C=C1)=CC=C1C2CC(C3=CC=CC=C3)=NN2C4=CC=C(S(=O)(N)=O)C=C4
Compound_1243,Carbonic anhydrase IX,Lyases,COC(C=C1)=CC=C1C2CC(C3=CC=CC=C3)=NN2C4=CC=C(S(=O)(N)=O)C=C4
Compound_1243,Carbonic anhydrase XII,Lyases,COC(C=C1)=CC=C1C2CC(C3=CC=CC=C3)=NN2C4=CC=C(S(=O)(N)=O)C=C4
Compound_1243,Cyclooxygenase-2,Oxidoreductases,COC(C=C1)=CC=C1C2CC(C3=CC=CC=C3)=NN2C4=CC=C(S(=O)(N)=O)C=C4
Compound_1243,Carbonic anhydrase XII,Lyases,COC(C=C1)=CC=C1C2CC(C3=CC=CC=C3)=NN2C4=CC=C(S(=O)(N)=O)C=C4
Compound_1243,Carbonic anhydrase IX,Lyases,COC(C=C1)=CC=C1C2CC(C3=CC=CC=C3)=NN2C4=CC=C(S(=O)(N)=O)C=C4
Compound_1243,Geminin,Other,COC(C=C1)=CC=C1C2CC(C3=CC=CC=C3)=NN2C4=CC=C(S(=O)(N)=O)C=C4
Compound_1243,Cyclooxygenase-2,Oxidoreductases,COC(C=C1)=CC=C1C2CC(C3=CC=CC=C3)=NN2C4=CC=C(S(=O)(N)=O)C=C4
Compound_1254,Nuclear factor NF-kappa-B p100/p49 subunits,Other,O=C(C1=CC=C(Br)S1)NC2=NC(C=CC(C)=C3)=C3S2
Compound_1330,P-glycoprotein 1,Transporter,O=C(C1=CC=CO1)N(CC2)CCN2C3=CC(C4=CC=CC=C4)=NC5=CC(C6=CC=CC(OC)=C6)=NN53
Compound_1336,Endoplasmic reticulum aminopeptidase 1,Other,O=C(N[C@@H](CCCCN)C(OC)=O)C1=CC=C(N)C(NC([C@@H](N)CCC2=CC=CC=C2)=O)=C1.Cl
Compound_1338,Potassium channel subfamily K member 3,Ion_Channel,O=C(C1=CC(OC)=CC=C1)NC2=CC(NC(C3=CC=CC(C)=C3)=O)=CC=C2
Compound_1338,Potassium channel subfamily K member 9,Ion_Channel,O=C(C1=CC(OC)=CC=C1)NC2=CC(NC(C3=CC=CC(C)=C3)=O)=CC=C2
Compound_1338,Potassium channel subfamily K member 3,Ion_Channel,O=C(C1=CC(OC)=CC=C1)NC2=CC(NC(C3=CC=CC(C)=C3)=O)=CC=C2
Compound_1338,Potassium channel subfamily K member 9,Ion_Channel,O=C(C1=CC(OC)=CC=C1)NC2=CC(NC(C3=CC=CC(C)=C3)=O)=CC=C2
Compound_1338,Potassium channel subfamily K member 3,Ion_Channel,O=C(C1=CC(OC)=CC=C1)NC2=CC(NC(C3=CC=CC(C)=C3)=O)=CC=C2
Compound_1370,Niemann-Pick C1 protein,Other,O=C(C1=CC=C(N=CS2)C2=C1)NC3=CC=C(Cl)C=C3
Compound_1385,Carbonic anhydrase XII,Lyases,O=S(C(C=C1)=CC=C1N2C(C3=CC=C(Cl)C=C3)CC(C4=CC=CC=C4)=N2)(N)=O
Compound_1385,Carbonic anhydrase IX,Lyases,O=S(C(C=C1)=CC=C1N2C(C3=CC=C(Cl)C=C3)CC(C4=CC=CC=C4)=N2)(N)=O
Compound_1385,Carbonic anhydrase IX,Lyases,O=S(C(C=C1)=CC=C1N2C(C3=CC=C(Cl)C=C3)CC(C4=CC=CC=C4)=N2)(N)=O
Compound_1385,Cyclooxygenase-2,Oxidoreductases,O=S(C(C=C1)=CC=C1N2C(C3=CC=C(Cl)C=C3)CC(C4=CC=CC=C4)=N2)(N)=O
Compound_1385,Carbonic anhydrase XII,Lyases,O=S(C(C=C1)=CC=C1N2C(C3=CC=C(Cl)C=C3)CC(C4=CC=CC=C4)=N2)(N)=O
Compound_1385,Carbonic anhydrase I,Lyases,O=S(C(C=C1)=CC=C1N2C(C3=CC=C(Cl)C=C3)CC(C4=CC=CC=C4)=N2)(N)=O
Compound_1385,Geminin,Other,O=S(C(C=C1)=CC=C1N2C(C3=CC=C(Cl)C=C3)CC(C4=CC=CC=C4)=N2)(N)=O
Compound_1385,Cyclooxygenase-2,Oxidoreductases,O=S(C(C=C1)=CC=C1N2C(C3=CC=C(Cl)C=C3)CC(C4=CC=CC=C4)=N2)(N)=O
Compound_1385,Carbonic anhydrase XII,Lyases,O=S(C(C=C1)=CC=C1N2C(C3=CC=C(Cl)C=C3)CC(C4=CC=CC=C4)=N2)(N)=O
Compound_1393,DNA damage-inducible transcript 3 protein,Other,O=S(C1=CC=C(NC(C2=CC=C([N+]([O-])=O)O2)=O)C=C1)(N3CCC(C)(C)CC3)=O
Compound_1393,DNA damage-inducible transcript 3 protein,Other,O=S(C1=CC=C(NC(C2=CC=C([N+]([O-])=O)O2)=O)C=C1)(N3CCC(C)(C)CC3)=O
Compound_1398,Arachidonate 5-lipoxygenase,Oxidoreductases,OC(C=C1)=CC=C1NC2=NC(C3=CC=CC=C3)=CS2
Compound_1398,Nuclear factor NF-kappa-B p100/p49 subunits,Other,OC(C=C1)=CC=C1NC2=NC(C3=CC=CC=C3)=CS2
Compound_1398,Arachidonate 5-lipoxygenase,Oxidoreductases,OC(C=C1)=CC=C1NC2=NC(C3=CC=CC=C3)=CS2
Compound_1398,"Histone-lysine N-methyltransferase, H3 lysine-9 specific 3",Transferases,OC(C=C1)=CC=C1NC2=NC(C3=CC=CC=C3)=CS2
Compound_1398,Transitional endoplasmic reticulum ATPase,Transporter,OC(C=C1)=CC=C1NC2=NC(C3=CC=CC=C3)=CS2
Compound_1398,Nuclear factor NF-kappa-B p100/p49 subunits,Other,OC(C=C1)=CC=C1NC2=NC(C3=CC=CC=C3)=CS2
Compound_1419,DNA damage-inducible transcript 3 protein,Other,ClC1CCN(S(C2=CC=C(NC(C3=CC=C([N+]([O-])=O)O3)=O)C=C2)(=O)=O)CC1
Compound_1419,DNA damage-inducible transcript 3 protein,Other,ClC1CCN(S(C2=CC=C(NC(C3=CC=C([N+]([O-])=O)O3)=O)C=C2)(=O)=O)CC1
Compound_1438,DNA damage-inducible transcript 3 protein,Other,O=S(N1CCOCC1)(C2=CC=C(NC(C3=CC=C([N+]([O-])=O)O3)=O)C=C2)=O
Compound_1438,DNA damage-inducible transcript 3 protein,Other,O=S(N1CCOCC1)(C2=CC=C(NC(C3=CC=C([N+]([O-])=O)O3)=O)C=C2)=O
Compound_1440,Nuclear factor NF-kappa-B p100/p49 subunits,Other,COC1=CC=C(N=C(NC(C2=CC=C(OC)C=C2)=O)S3)C3=C1
Compound_1440,Nuclear factor NF-kappa-B p100/p49 subunits,Other,COC1=CC=C(N=C(NC(C2=CC=C(OC)C=C2)=O)S3)C3=C1
Compound_1459,Potassium channel subfamily K member 9,Ion_Channel,CC1=CC=CC(C(NC2=CC(NC(C3=CC=CC=C3OC)=O)=CC=C2)=O)=C1
Compound_1459,Potassium channel subfamily K member 3,Ion_Channel,CC1=CC=CC(C(NC2=CC(NC(C3=CC=CC=C3OC)=O)=CC=C2)=O)=C1
Compound_1459,Potassium channel subfamily K member 9,Ion_Channel,CC1=CC=CC(C(NC2=CC(NC(C3=CC=CC=C3OC)=O)=CC=C2)=O)=C1
Compound_1459,Potassium channel subfamily K member 3,Ion_Channel,CC1=CC=CC(C(NC2=CC(NC(C3=CC=CC=C3OC)=O)=CC=C2)=O)=C1
Compound_1459,Potassium channel subfamily K member 9,Ion_Channel,CC1=CC=CC(C(NC2=CC(NC(C3=CC=CC=C3OC)=O)=CC=C2)=O)=C1
Compound_1459,Potassium channel subfamily K member 3,Ion_Channel,CC1=CC=CC(C(NC2=CC(NC(C3=CC=CC=C3OC)=O)=CC=C2)=O)=C1
Compound_1459,Potassium channel subfamily K member 3,Ion_Channel,CC1=CC=CC(C(NC2=CC(NC(C3=CC=CC=C3OC)=O)=CC=C2)=O)=C1
Compound_1477,P-glycoprotein 1,Transporter,CC1=NC2=CC(C3=CC=C(OC)C=C3)=NN2C(N4CCN(C(C5=CC=CO5)=O)CC4)=C1
Compound_1504,Neuropeptide Y receptor type 5,GPCR,CC(C=C1)=CC=C1NC2=NC(NC3=CC=C(C)C=C3)=NC4=CC=CC=C42
Compound_1504,Neuropeptide Y receptor type 5,GPCR,CC(C=C1)=CC=C1NC2=NC(NC3=CC=C(C)C=C3)=NC4=CC=CC=C42
Compound_1504,Neuropeptide Y receptor type 5,GPCR,CC(C=C1)=CC=C1NC2=NC(NC3=CC=C(C)C=C3)=NC4=CC=CC=C42
Compound_1509,Cytochrome P450 2D6,Oxidoreductases,[H]C(C=C1)=CC=C1CNC2=NC(C3=CC=C(OCO4)C4=C3)=NC=C2
Compound_1509,Cytochrome P450 3A4,Oxidoreductases,[H]C(C=C1)=CC=C1CNC2=NC(C3=CC=C(OCO4)C4=C3)=NC=C2
Compound_1509,Cytochrome P450 1A2,Oxidoreductases,[H]C(C=C1)=CC=C1CNC2=NC(C3=CC=C(OCO4)C4=C3)=NC=C2
Compound_1509,Cytochrome P450 1A2,Oxidoreductases,[H]C(C=C1)=CC=C1CNC2=NC(C3=CC=C(OCO4)C4=C3)=NC=C2
Compound_1509,Dual specificity protein kinase CLK4,Kinase,[H]C(C=C1)=CC=C1CNC2=NC(C3=CC=C(OCO4)C4=C3)=NC=C2
Compound_1509,Cytochrome P450 3A4,Oxidoreductases,[H]C(C=C1)=CC=C1CNC2=NC(C3=CC=C(OCO4)C4=C3)=NC=C2
Compound_1509,Cytochrome P450 1A2,Oxidoreductases,[H]C(C=C1)=CC=C1CNC2=NC(C3=CC=C(OCO4)C4=C3)=NC=C2
Compound_1510,Lysine-specific demethylase 4D-like,Other,CN1CCN(CC2=CC(Cl)=C(C=CC=N3)C3=C2O)CC1
Compound_1511,Kappa opioid receptor,GPCR,O=C(NCCN(C(C)C)CC1=CC=CC=C1)C(C=C2)=CC=C2CNS(C3=CC=C(CC)C=C3)(=O)=O
Compound_1511,Kappa opioid receptor,GPCR,O=C(NCCN(C(C)C)CC1=CC=CC=C1)C(C=C2)=CC=C2CNS(C3=CC=C(CC)C=C3)(=O)=O
Compound_1536,Cytochrome P450 1A2,Oxidoreductases,COC(C=C1)=CC=C1CNC2=NC(C3=CC=CC(C#N)=C3)=NC=C2
Compound_1555,Dual specificity protein kinase CLK4,Kinase,ClC(C=C1)=C(Cl)C=C1CNC2=NC(C3=CC=CC(OC)=C3)=NC=C2
Compound_1576,Heat shock protein HSP 90-alpha,Other,O=C1C(C=CC=C2)=C2C(C(NC(C3=CC=C(C=C3)OC)=O)=C1C4=CC=CC=C4)=O
Compound_1576,Heat shock protein HSP 90-beta,Other,O=C1C(C=CC=C2)=C2C(C(NC(C3=CC=C(C=C3)OC)=O)=C1C4=CC=CC=C4)=O
Compound_1602,Niemann-Pick C1 protein,Other,O=C(C1=CC=C(N=CS2)C2=C1)NC3=CC=C(OC)C=C3
Compound_1607,Glucose-6-phosphate 1-dehydrogenase,Oxidoreductases,O=C1N(CC(NC2=CC=C(OC)C=C2)=O)SC3=CC=CC=C31
Compound_1616,Dual specificity protein kinase CLK4,Kinase,CC(C=C1)=CC=C1CNC2=NC(C3=CC=CC(OC)=C3)=NC=C2
Compound_1617,Phosphoethanolamine/phosphocholine phosphatase,Hydrolases,O=C1N(C2=CC=CC=C2)SC3=CC=C([N+]([O-])=O)C=C31
Compound_1617,Histone acetyltransferase PCAF,Transferases,O=C1N(C2=CC=CC=C2)SC3=CC=C([N+]([O-])=O)C=C31
Compound_1617,Glucose-6-phosphate 1-dehydrogenase,Oxidoreductases,O=C1N(C2=CC=CC=C2)SC3=CC=C([N+]([O-])=O)C=C31
Compound_1617,Mannose-6-phosphate isomerase,Isomerases,O=C1N(C2=CC=CC=C2)SC3=CC=C([N+]([O-])=O)C=C31
Compound_1617,Phosphoethanolamine/phosphocholine phosphatase,Hydrolases,O=C1N(C2=CC=CC=C2)SC3=CC=C([N+]([O-])=O)C=C31
Compound_1621,P-glycoprotein 1,Transporter,COC(C=C1)=CC=C1C2=NN3C(N=C(C4=CC=CC=C4)C=C3N5CCN(C(C6=CC=CO6)=O)CC5)=C2
Compound_1636,P-glycoprotein 1,Transporter,O=C(C1=CC=CO1)N(CC2)CCN2C3=CC(C4=CC=CO4)=NC5=CC(C6=CC=CC=C6)=NN53
Compound_1636,P-glycoprotein 1,Transporter,O=C(C1=CC=CO1)N(CC2)CCN2C3=CC(C4=CC=CO4)=NC5=CC(C6=CC=CC=C6)=NN53
Compound_1649,Cytochrome P450 1A2,Oxidoreductases,[H]C(C=C1)=CC=C1CNC2=NC(C3=CC=C(OC)C=C3)=NC=C2
Compound_1649,Cytochrome P450 1A2,Oxidoreductases,[H]C(C=C1)=CC=C1CNC2=NC(C3=CC=C(OC)C=C3)=NC=C2
Compound_1669,Histone deacetylase 8,Hydrolases,O=C(NO)CC1=CC=C(OCC2=CC=CC=C2)C=C1
Compound_1676,Cytochrome P450 1A2,Oxidoreductases,COC(C=C1)=CC=C1CNC2=NC(C3=CC=CC(OC)=C3)=NC=C2
Compound_1676,Dual specificity protein kinase CLK4,Kinase,COC(C=C1)=CC=C1CNC2=NC(C3=CC=CC(OC)=C3)=NC=C2
Compound_1678,Dual specificity protein kinase CLK4,Kinase,ClC(C=C1)=CC=C1CNC2=NC(C3=CC=C(OCO4)C4=C3)=NC=C2
Compound_1708,Cytochrome P450 2D6,Oxidoreductases,O=S(C1=C2C=CC=C(Cl)C2=CC=C1)(NCCCCCCN)=O
Compound_1708,Cytochrome P450 2C19,Oxidoreductases,O=S(C1=C2C=CC=C(Cl)C2=CC=C1)(NCCCCCCN)=O
Compound_1708,Cytochrome P450 2C19,Oxidoreductases,O=S(C1=C2C=CC=C(Cl)C2=CC=C1)(NCCCCCCN)=O
Compound_1708,Cytochrome P450 2C19,Oxidoreductases,O=S(C1=C2C=CC=C(Cl)C2=CC=C1)(NCCCCCCN)=O
Compound_1713,Dual specificity protein kinase CLK4,Kinase,ClC(C(Cl)=C1)=CC=C1CNC2=NC=CC(C3=CC(OC)=CC=C3)=N2
Compound_1725,Mannose-6-phosphate isomerase,Isomerases,O=C1N(C2=C(C)C=C(C)C=C2)SC3=CC(F)=CC=C31
Compound_1725,Phosphoethanolamine/phosphocholine phosphatase,Hydrolases,O=C1N(C2=C(C)C=C(C)C=C2)SC3=CC(F)=CC=C31
Compound_1725,Mannose-6-phosphate isomerase,Isomerases,O=C1N(C2=C(C)C=C(C)C=C2)SC3=CC(F)=CC=C31
Compound_1725,Phosphoethanolamine/phosphocholine phosphatase,Hydrolases,O=C1N(C2=C(C)C=C(C)C=C2)SC3=CC(F)=CC=C31
Compound_1727,Mannose-6-phosphate isomerase,Isomerases,O=C1N(C2=CC=C(Cl)C=C2)SC3=CC=CC=C31
Compound_1727,Phosphoethanolamine/phosphocholine phosphatase,Hydrolases,O=C1N(C2=CC=C(Cl)C=C2)SC3=CC=CC=C31
Compound_1727,Histone acetyltransferase PCAF,Transferases,O=C1N(C2=CC=C(Cl)C=C2)SC3=CC=CC=C31
Compound_1727,Glucose-6-phosphate 1-dehydrogenase,Oxidoreductases,O=C1N(C2=CC=C(Cl)C=C2)SC3=CC=CC=C31
Compound_1727,Mannose-6-phosphate isomerase,Isomerases,O=C1N(C2=CC=C(Cl)C=C2)SC3=CC=CC=C31
Compound_1727,Histone acetyltransferase GCN5,Transferases,O=C1N(C2=CC=C(Cl)C=C2)SC3=CC=CC=C31
Compound_1727,Ataxin-2,Other,O=C1N(C2=CC=C(Cl)C=C2)SC3=CC=CC=C31
Compound_1727,Macrophage migration inhibitory factor,Isomerases,O=C1N(C2=CC=C(Cl)C=C2)SC3=CC=CC=C31
Compound_1727,Macrophage migration inhibitory factor,Isomerases,O=C1N(C2=CC=C(Cl)C=C2)SC3=CC=CC=C31
Compound_1727,Phosphoethanolamine/phosphocholine phosphatase,Hydrolases,O=C1N(C2=CC=C(Cl)C=C2)SC3=CC=CC=C31
Compound_1727,Vitamin D receptor,NHR,O=C1N(C2=CC=C(Cl)C=C2)SC3=CC=CC=C31
Compound_1728,Potassium channel subfamily K member 9,Ion_Channel,O=C(NC1=CC(NC(C2=CC=CC=C2C)=O)=CC=C1)C3=C(OC)C=CC=C3
